ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7965403	6.28e-48	3.58e-51	1.82e+01	105.660175	1.23	LUM	lumican
8162394	3.01e-46	1.81e-49	1.78e+01	101.777438	1.82	ASPN	asporin
7931977	7.72e-46	4.87e-49	1.77e+01	100.798934	8.11e-01	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
8126066	3.96e-45	2.61e-48	-1.75e+01	99.134651	-3.77e-01	MTCH1	mitochondrial carrier 1
8073449	6.31e-45	4.36e-48	-1.74e+01	98.629378	-8.28e-01	CSDC2	cold shock domain containing C2
8057506	2.17e-44	1.57e-47	1.73e+01	97.362487	1.36	FRZB	frizzled-related protein
8146159	6.16e-44	4.62e-47	1.72e+01	96.290827	5.00e-01	AP3M2	adaptor related protein complex 3 mu 2 subunit
8169115	8.12e-44	6.34e-47	1.71e+01	95.977738	9.93e-01	NRK	Nik related kinase
8147516	8.45e-44	6.85e-47	1.71e+01	95.901756	8.83e-01	MATN2	matrilin 2
7984813	8.90e-44	7.49e-47	1.71e+01	95.81356	8.20e-01	ISLR	immunoglobulin superfamily containing leucine rich repeat
8044021	1.10e-43	9.59e-47	-1.71e+01	95.568633	-1.76	IL1RL1	interleukin 1 receptor like 1
8037614	1.41e-43	1.27e-46	-1.71e+01	95.293282	-7.21e-01	GPR4	G protein-coupled receptor 4
7920552	1.54e-43	1.44e-46	1.70e+01	95.167348	6.95e-01	KCNN3	potassium calcium-activated channel subfamily N member 3
8055194	1.60e-43	1.54e-46	-1.70e+01	95.098974	-8.58e-01	TUBA3E	tubulin alpha 3e
7980970	1.65e-43	1.64e-46	-1.70e+01	95.040039	-4.12e-01	ITPK1	inositol-tetrakisphosphate 1-kinase
8123104	1.93e-43	1.97e-46	1.70e+01	94.857627	1.03	FNDC1	fibronectin type III domain containing 1
7959002	1.95e-43	2.04e-46	1.70e+01	94.819061	7.21e-01	SDSL	serine dehydratase like
7952011	2.22e-43	2.40e-46	1.70e+01	94.659113	8.85e-01	SCN2B	sodium voltage-gated channel beta subunit 2
8068522	5.84e-43	6.49e-46	1.69e+01	93.6757	3.87e-01	TTC3	tetratricopeptide repeat domain 3
8143144	1.79e-42	2.04e-45	1.67e+01	92.541389	9.98e-01	PTN	pleiotrophin
7960794	3.44e-42	4.03e-45	-1.67e+01	91.868752	-1.52	CD163	CD163 molecule
8139087	4.90e-42	5.89e-45	1.66e+01	91.492135	1.78	SFRP4	secreted frizzled related protein 4
8134463	5.68e-42	6.99e-45	-1.66e+01	91.322412	-8.56e-01	NPTX2	neuronal pentraxin 2
7931097	6.46e-42	8.15e-45	1.66e+01	91.171012	5.56e-01	HTRA1	HtrA serine peptidase 1
7996198	1.11e-41	1.43e-44	1.65e+01	90.61421	7.84e-01	CCDC113	coiled-coil domain containing 113
8066964	3.33e-41	4.39e-44	-1.64e+01	89.502518	-3.75e-01	TMEM189-UBE2V1///TMEM189///UBE2V1	TMEM189-UBE2V1 readthrough///transmembrane protein 189///ubiquitin conjugating enzyme E2 V1
7929634	3.83e-41	5.17e-44	-1.64e+01	89.340998	-4.51e-01	ZDHHC16	zinc finger DHHC-type containing 16
7896730	6.27e-41	8.66e-44	1.63e+01	88.830633	8.55e-01		
7933750	1.24e-40	1.75e-43	1.62e+01	88.135195	8.73e-01	SLC16A9	solute carrier family 16 member 9
8092691	2.83e-40	4.08e-43	-1.61e+01	87.295516	-7.19e-01	BCL6	B-cell CLL/lymphoma 6
7985934	3.46e-40	5.09e-43	-1.61e+01	87.076521	-6.76e-01	SEMA4B	semaphorin 4B
7898328	3.69e-40	5.60e-43	-1.61e+01	86.981956	-3.01e-01	SZRD1	SUZ RNA binding domain containing 1
8097307	3.69e-40	5.64e-43	1.61e+01	86.974936	3.94e-01	INTU	inturned planar cell polarity protein
8117458	3.91e-40	6.10e-43	1.61e+01	86.898152	6.68e-01	BTN3A1	butyrophilin subfamily 3 member A1
8013191	5.85e-40	9.32e-43	-1.60e+01	86.47886	-3.84e-01	FLII	FLII, actin remodeling protein
8000244	6.61e-40	1.07e-42	-1.60e+01	86.340039	-5.74e-01	USP31	ubiquitin specific peptidase 31
7916747	7.62e-40	1.26e-42	-1.60e+01	86.18158	-2.95e-01	JAK1	Janus kinase 1
8092457	8.03e-40	1.35e-42	-1.60e+01	86.111447	-5.09e-01	ALG3	ALG3, alpha-1,3- mannosyltransferase
8173287	9.16e-40	1.57e-42	-1.60e+01	85.963137	-1.30	VSIG4	V-set and immunoglobulin domain containing 4
7934334	1.28e-39	2.24e-42	1.59e+01	85.611657	4.88e-01	CFAP70	cilia and flagella associated protein 70
8091354	1.36e-39	2.41e-42	1.59e+01	85.539607	5.43e-01	HLTF	helicase like transcription factor
8038347	1.53e-39	2.76e-42	-1.59e+01	85.4024	-4.46e-01	TEAD2	TEA domain transcription factor 2
8114593	1.71e-39	3.13e-42	1.59e+01	85.279518	5.32e-01	APBB3	amyloid beta precursor protein binding family B member 3
8143879	1.71e-39	3.18e-42	-1.59e+01	85.264605	-3.94e-01	TMUB1	transmembrane and ubiquitin like domain containing 1
8094184	2.36e-39	4.47e-42	1.59e+01	84.925919	6.12e-01	C1QTNF7	C1q and tumor necrosis factor related protein 7
8162373	3.40e-39	6.53e-42	1.58e+01	84.550496	1.32	OGN	osteoglycin
8075106	5.71e-39	1.12e-41	-1.58e+01	84.02098	-4.15e-01	TPST2	tyrosylprotein sulfotransferase 2
7942123	7.11e-39	1.41e-41	1.57e+01	83.789097	5.09e-01	CCND1	cyclin D1
7914489	1.22e-38	2.45e-41	-1.57e+01	83.242407	-3.70e-01	PTP4A2	protein tyrosine phosphatase type IVA, member 2
8158431	2.90e-38	5.92e-41	-1.56e+01	82.368855	-5.50e-01	PHYHD1	phytanoyl-CoA dioxygenase domain containing 1
7946454	3.72e-38	7.70e-41	1.55e+01	82.108153	8.32e-01	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2
7947681	3.96e-38	8.34e-41	1.55e+01	82.029569	4.65e-01	ARHGAP1	Rho GTPase activating protein 1
8015607	4.11e-38	8.77e-41	-1.55e+01	81.978859	-6.04e-01	STAT3	signal transducer and activator of transcription 3
8165271	6.52e-38	1.41e-40	-1.55e+01	81.509422	-5.84e-01	LCN10	lipocalin 10
8081503	1.26e-37	2.75e-40	1.54e+01	80.846368	5.53e-01	DZIP3	DAZ interacting zinc finger protein 3
8128394	1.31e-37	2.92e-40	1.54e+01	80.789415	3.35e-01	PNISR	PNN interacting serine and arginine rich protein
7965941	1.33e-37	3.00e-40	1.54e+01	80.762394	7.98e-01	GLT8D2	glycosyltransferase 8 domain containing 2
7902541	1.39e-37	3.17e-40	1.54e+01	80.707023	1.12	IFI44L	interferon induced protein 44 like
8088560	1.59e-37	3.67e-40	-1.54e+01	80.561811	-1.17	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
7973110	1.91e-37	4.47e-40	-1.53e+01	80.367155	-1.16	RNASE2	ribonuclease A family member 2
8074261	2.97e-37	7.05e-40	-1.53e+01	79.915659	-4.44e-01	BID	BH3 interacting domain death agonist
7920409	3.74e-37	8.99e-40	-1.53e+01	79.674647	-3.61e-01	JTB	jumping translocation breakpoint
7935296	4.28e-37	1.04e-39	1.53e+01	79.530049	9.51e-01	TLL2	tolloid like 2
8160670	4.69e-37	1.16e-39	-1.52e+01	79.425914	-9.61e-01	AQP3	aquaporin 3 (Gill blood group)
7962058	5.12e-37	1.28e-39	-1.52e+01	79.32797	-5.67e-01	TMTC1	transmembrane and tetratricopeptide repeat containing 1
7955562	8.43e-37	2.13e-39	-1.52e+01	78.822219	-4.39e-01	ACVRL1	activin A receptor like type 1
7914015	1.32e-36	3.40e-39	-1.51e+01	78.358892	-7.97e-01	FAM46B	family with sequence similarity 46 member B
7977077	1.32e-36	3.40e-39	-1.51e+01	78.356933	-4.88e-01	MARK3	microtubule affinity regulating kinase 3
8087935	1.40e-36	3.66e-39	-1.51e+01	78.284989	-6.04e-01	NT5DC2	5'-nucleotidase domain containing 2
7902425	1.71e-36	4.51e-39	-1.51e+01	78.077785	-6.44e-01	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
7949808	2.03e-36	5.43e-39	-1.51e+01	77.893691	-4.67e-01	PITPNM1	phosphatidylinositol transfer protein membrane associated 1
8171248	2.26e-36	6.10e-39	1.51e+01	77.778766	7.30e-01	ANOS1	anosmin 1
8010287	6.29e-36	1.72e-38	-1.49e+01	76.753596	-9.94e-01	C1QTNF1	C1q and tumor necrosis factor related protein 1
8028872	6.44e-36	1.78e-38	1.49e+01	76.719551	5.60e-01	LTBP4	latent transforming growth factor beta binding protein 4
8175924	7.42e-36	2.07e-38	-1.49e+01	76.568201	-3.30e-01	NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit
8147469	8.58e-36	2.42e-38	1.49e+01	76.414354	4.61e-01	CPQ	carboxypeptidase Q
7951521	1.04e-35	2.98e-38	1.49e+01	76.208732	4.17e-01	C11orf65	chromosome 11 open reading frame 65
7990269	1.10e-35	3.18e-38	-1.49e+01	76.144641	-7.22e-01	C15orf59	chromosome 15 open reading frame 59
7920401	1.18e-35	3.42e-38	-1.49e+01	76.071041	-3.57e-01	SLC39A1	solute carrier family 39 member 1
8076137	1.92e-35	5.64e-38	-1.48e+01	75.577638	-3.67e-01	SUN2	Sad1 and UNC84 domain containing 2
7904254	2.73e-35	8.12e-38	-1.48e+01	75.216101	-5.19e-01	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
7977987	4.50e-35	1.35e-37	-1.47e+01	74.71123	-1.58	MYH6	myosin heavy chain 6
7946579	4.83e-35	1.46e-37	-1.47e+01	74.632622	-1.43	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
7925320	7.25e-35	2.22e-37	-1.46e+01	74.219628	-5.97e-01	NID1	nidogen 1
8172345	8.40e-35	2.60e-37	-1.46e+01	74.064416	-3.44e-01	ELK1	ELK1, ETS transcription factor
7941274	1.07e-34	3.35e-37	-1.46e+01	73.811956	-2.34e-01	SCYL1///LTBP3	SCY1 like pseudokinase 1///latent transforming growth factor beta binding protein 3
8048847	1.10e-34	3.48e-37	-1.46e+01	73.775519	-2.57e-01	AGFG1	ArfGAP with FG repeats 1
7965040	1.21e-34	3.86e-37	1.46e+01	73.672513	1.07	PHLDA1	pleckstrin homology like domain family A member 1
7953150	1.23e-34	3.94e-37	-1.46e+01	73.652841	-6.54e-01	TEAD4	TEA domain transcription factor 4
8104856	1.28e-34	4.14e-37	1.46e+01	73.604189	2.34e-01	SPEF2	sperm flagellar 2
8173059	1.33e-34	4.36e-37	-1.46e+01	73.552978	-7.18e-01	WNK3	WNK lysine deficient protein kinase 3
8062326	1.37e-34	4.54e-37	-1.46e+01	73.512291	-2.66e-01	C20orf24	chromosome 20 open reading frame 24
7990080	1.39e-34	4.63e-37	-1.46e+01	73.493786	-4.09e-01	LARP6	La ribonucleoprotein domain family member 6
7941302	1.82e-34	6.12e-37	-1.45e+01	73.216833	-3.59e-01	FAM89B	family with sequence similarity 89 member B
8065569	1.92e-34	6.53e-37	-1.45e+01	73.153126	-4.81e-01	BCL2L1	BCL2 like 1
7934533	2.11e-34	7.22e-37	-1.45e+01	73.053148	-6.34e-01	DUSP13	dual specificity phosphatase 13
7956076	2.27e-34	7.82e-37	-1.45e+01	72.973573	-4.55e-01	CDK2	cyclin dependent kinase 2
8113073	2.54e-34	8.83e-37	1.45e+01	72.853522	7.14e-01	ARRDC3	arrestin domain containing 3
8075239	2.64e-34	9.29e-37	-1.45e+01	72.803371	-3.90e-01	THOC5	THO complex 5
8053801	2.93e-34	1.04e-36	1.45e+01	72.692343	4.97e-01	ANKRD36C///ANKRD36///ANKRD36B	ankyrin repeat domain 36C///ankyrin repeat domain 36///ankyrin repeat domain 36B
7953547	3.24e-34	1.16e-36	-1.45e+01	72.584895	-2.99e-01	ATN1	atrophin 1
7973108	3.24e-34	1.17e-36	-1.45e+01	72.577667	-8.50e-01	ECRP	ribonuclease A family member 2 pseudogene
8157976	3.66e-34	1.33e-36	1.44e+01	72.449316	6.27e-01	GARNL3	GTPase activating Rap/RanGAP domain like 3
8148070	5.16e-34	1.89e-36	1.44e+01	72.101104	1.25	COL14A1	collagen type XIV alpha 1 chain
8131996	5.41e-34	2.00e-36	1.44e+01	72.044431	6.98e-01	CREB5	cAMP responsive element binding protein 5
7899043	5.71e-34	2.13e-36	-1.44e+01	71.983654	-3.77e-01	SEPN1	selenoprotein N, 1
7929047	6.98e-34	2.62e-36	1.44e+01	71.776592	6.51e-01	IFIT2	interferon induced protein with tetratricopeptide repeats 2
8024282	8.21e-34	3.11e-36	-1.43e+01	71.608025	-2.94e-01	DAZAP1	DAZ associated protein 1
8076307	8.32e-34	3.17e-36	-1.43e+01	71.587805	-3.92e-01	RANGAP1	Ran GTPase activating protein 1
8168517	8.43e-34	3.24e-36	1.43e+01	71.566672	5.62e-01	LPAR4	lysophosphatidic acid receptor 4
8129985	1.06e-33	4.12e-36	1.43e+01	71.328449	4.70e-01	HYMAI///PLAGL1	hydatidiform mole associated and imprinted (non-protein coding)///PLAG1 like zinc finger 1
8009693	1.14e-33	4.45e-36	-1.43e+01	71.252151	-4.25e-01	TMEM104	transmembrane protein 104
8103646	1.39e-33	5.49e-36	1.43e+01	71.045354	2.95e-01	NEK1	NIMA related kinase 1
8043697	1.43e-33	5.66e-36	1.43e+01	71.014471	4.68e-01	ANKRD36///ANKRD36B	ankyrin repeat domain 36///ankyrin repeat domain 36B
8029507	1.92e-33	7.68e-36	-1.42e+01	70.712056	-3.44e-01	NECTIN2	nectin cell adhesion molecule 2
8124524	2.55e-33	1.03e-35	1.42e+01	70.425057	5.18e-01	HIST1H2AK	histone cluster 1, H2ak
8041644	3.03e-33	1.24e-35	1.42e+01	70.24198	9.13e-01	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2
7973352	3.03e-33	1.24e-35	-1.42e+01	70.241159	-3.86e-01	LRP10	LDL receptor related protein 10
8120883	3.34e-33	1.38e-35	1.42e+01	70.133434	3.42e-01	DOPEY1	dopey family member 1
8175811	3.34e-33	1.39e-35	-1.42e+01	70.128253	-4.91e-01	FAM58A	family with sequence similarity 58 member A
8078834	3.94e-33	1.65e-35	1.41e+01	69.957483	3.00e-01	WDR48	WD repeat domain 48
7947425	4.36e-33	1.83e-35	-1.41e+01	69.850787	-2.92e-01	CD59	CD59 molecule
8180309	4.41e-33	1.87e-35	-1.41e+01	69.83222	-6.83e-01	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
7946757	4.43e-33	1.89e-35	1.41e+01	69.821589	4.58e-01	SOX6	SRY-box 6
8025741	6.46e-33	2.77e-35	-1.41e+01	69.441024	-2.49e-01	QTRT1///DNM2	queuine tRNA-ribosyltransferase catalytic subunit 1///dynamin 2
7952116	6.63e-33	2.87e-35	-1.41e+01	69.409136	-4.85e-01	BCL9L	B-cell CLL/lymphoma 9-like
8083494	8.06e-33	3.51e-35	1.41e+01	69.208064	1.02	MME	membrane metallo-endopeptidase
7960730	8.29e-33	3.64e-35	-1.41e+01	69.173204	-5.98e-01	LPCAT3	lysophosphatidylcholine acyltransferase 3
7918558	8.49e-33	3.75e-35	-1.41e+01	69.142936	-5.08e-01	KCND3	potassium voltage-gated channel subfamily D member 3
8036867	1.34e-32	5.95e-35	-1.40e+01	68.685882	-3.98e-01	C19orf47	chromosome 19 open reading frame 47
8153664	1.92e-32	8.58e-35	-1.40e+01	68.323644	-3.40e-01	BOP1	block of proliferation 1
7913216	1.94e-32	8.76e-35	-1.40e+01	68.30292	-1.89	PLA2G2A	phospholipase A2 group IIA
7938225	2.08e-32	9.50e-35	1.39e+01	68.222872	8.83e-01	OLFML1	olfactomedin like 1
8146794	2.08e-32	9.51e-35	1.39e+01	68.221977	4.19e-01	PREX2	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2
7972650	2.47e-32	1.13e-34	1.39e+01	68.046641	7.25e-01	FGF14	fibroblast growth factor 14
7899562	2.62e-32	1.21e-34	-1.39e+01	67.980178	-4.67e-01	PTPRU	protein tyrosine phosphatase, receptor type U
8025984	2.65e-32	1.23e-34	1.39e+01	67.96576	5.33e-01	ZNF844	zinc finger protein 844
8077612	3.38e-32	1.58e-34	1.39e+01	67.717982	4.38e-01	ARPC4-TTLL3///TTLL3///BRPF1	ARPC4-TTLL3 readthrough///tubulin tyrosine ligase like 3///bromodomain and PHD finger containing 1
8168968	3.73e-32	1.76e-34	1.39e+01	67.612626	5.83e-01	GPRASP1	G protein-coupled receptor associated sorting protein 1
8167449	4.00e-32	1.90e-34	-1.39e+01	67.538756	-6.24e-01	PLP2	proteolipid protein 2
8072242	4.46e-32	2.13e-34	-1.39e+01	67.423048	-4.32e-01	NF2	neurofibromin 2
7950990	4.78e-32	2.30e-34	-1.38e+01	67.347421	-6.33e-01	SLC36A4	solute carrier family 36 member 4
7943795	4.78e-32	2.31e-34	-1.38e+01	67.343141	-5.73e-01	HSPB2-C11orf52///C11orf52	HSPB2-C11orf52 readthrough (NMD candidate)///chromosome 11 open reading frame 52
7922912	5.42e-32	2.64e-34	1.38e+01	67.211483	2.45e-01	TPR	translocated promoter region, nuclear basket protein
8158224	5.89e-32	2.88e-34	-1.38e+01	67.124294	-4.07e-01	SLC27A4	solute carrier family 27 member 4
7909510	6.25e-32	3.08e-34	1.38e+01	67.058665	4.27e-01	HHAT	hedgehog acyltransferase
8086908	7.12e-32	3.53e-34	-1.38e+01	66.92327	-3.95e-01	PLXNB1	plexin B1
8158317	7.48e-32	3.73e-34	1.38e+01	66.869266	3.52e-01	SPTAN1	spectrin alpha, non-erythrocytic 1
8128991	8.55e-32	4.29e-34	1.38e+01	66.730763	5.32e-01	LAMA4	laminin subunit alpha 4
8107934	9.58e-32	4.83e-34	1.38e+01	66.61228	3.83e-01	C5orf56	chromosome 5 open reading frame 56
8084439	9.58e-32	4.86e-34	-1.38e+01	66.606935	-3.21e-01	EIF4G1	eukaryotic translation initiation factor 4 gamma 1
8050846	9.89e-32	5.07e-34	1.38e+01	66.564914	3.12e-01	DTNB	dystrobrevin beta
8076569	9.89e-32	5.08e-34	-1.38e+01	66.563049	-3.31e-01	TTLL12	tubulin tyrosine ligase like 12
8004184	1.16e-31	6.01e-34	1.37e+01	66.397089	5.43e-01	XAF1	XIAP associated factor 1
8086505	1.17e-31	6.08e-34	-1.37e+01	66.38501	-2.78e-01	ZDHHC3	zinc finger DHHC-type containing 3
8177628	1.26e-31	6.58e-34	1.37e+01	66.307464	3.99e-01	CCDC125	coiled-coil domain containing 125
8042867	1.32e-31	6.93e-34	1.37e+01	66.255629	2.59e-01	WBP1	WW domain binding protein 1
8011462	1.49e-31	7.89e-34	1.37e+01	66.126693	2.67e-01	NCBP3	nuclear cap binding subunit 3
8058462	1.57e-31	8.35e-34	1.37e+01	66.070863	4.70e-01	MDH1B	malate dehydrogenase 1B
7968242	1.59e-31	8.48e-34	-1.37e+01	66.055374	-3.70e-01	GTF3A	general transcription factor IIIA
8035040	1.67e-31	8.95e-34	-1.37e+01	66.002409	-2.90e-01	WIZ	widely interspaced zinc finger motifs
8152491	2.09e-31	1.13e-33	1.37e+01	65.772143	5.07e-01	EXT1	exostosin glycosyltransferase 1
7967879	2.16e-31	1.17e-33	-1.37e+01	65.733824	-4.33e-01	FAM58DP///FAM58A	family with sequence similarity 58, member A pseudogene///family with sequence similarity 58 member A
7959173	2.42e-31	1.32e-33	-1.36e+01	65.616431	-2.68e-01	RNF10	ring finger protein 10
7929012	2.58e-31	1.42e-33	1.36e+01	65.547921	4.67e-01	STAMBPL1	STAM binding protein like 1
7999291	2.63e-31	1.46e-33	1.36e+01	65.516127	6.89e-01	C16orf89	chromosome 16 open reading frame 89
8122334	2.63e-31	1.46e-33	1.36e+01	65.516071	1.07	ACKR4	atypical chemokine receptor 4
8151684	2.90e-31	1.62e-33	1.36e+01	65.415584	7.65e-01		
8157193	3.67e-31	2.06e-33	1.36e+01	65.177687	5.62e-01	ZNF483	zinc finger protein 483
8055183	3.99e-31	2.25e-33	-1.36e+01	65.088837	-3.45e-01	SMPD4	sphingomyelin phosphodiesterase 4
7914042	4.14e-31	2.35e-33	-1.36e+01	65.047993	-5.21e-01	MAP3K6	mitogen-activated protein kinase kinase kinase 6
8103563	4.34e-31	2.48e-33	1.36e+01	64.995156	5.16e-01	DDX60	DEXD/H-box helicase 60
8102567	5.22e-31	3.00e-33	1.35e+01	64.806388	4.67e-01	PRDM5	PR/SET domain 5
7921821	5.87e-31	3.39e-33	-1.35e+01	64.68508	-1.19	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
8130383	6.07e-31	3.52e-33	-1.35e+01	64.647069	-2.80e-01	MTRF1L	mitochondrial translational release factor 1 like
8015955	6.49e-31	3.79e-33	-1.35e+01	64.572988	-3.37e-01	ATXN7L3	ataxin 7 like 3
8101675	6.49e-31	3.80e-33	1.35e+01	64.57041	7.18e-01	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)
8032076	7.05e-31	4.15e-33	-1.35e+01	64.484658	-3.02e-01	RNF126	ring finger protein 126
8013341	7.35e-31	4.35e-33	1.35e+01	64.43855	8.82e-01	MFAP4	microfibrillar associated protein 4
8026155	7.42e-31	4.41e-33	-1.35e+01	64.423418	-4.04e-01	NACC1	nucleus accumbens associated 1
8115594	7.80e-31	4.66e-33	1.35e+01	64.369555	5.40e-01	C1QTNF2	C1q and tumor necrosis factor related protein 2
8099817	1.01e-30	6.07e-33	1.35e+01	64.108504	4.25e-01	KLF3-AS1	KLF3 antisense RNA 1
7903980	1.02e-30	6.16e-33	-1.35e+01	64.093921	-8.68e-01	C1orf162	chromosome 1 open reading frame 162
7930139	1.10e-30	6.65e-33	-1.35e+01	64.017538	-3.45e-01	TRIM8	tripartite motif containing 8
8032839	1.16e-30	7.08e-33	-1.34e+01	63.95568	-4.93e-01	SEMA6B	semaphorin 6B
8018731	1.21e-30	7.41e-33	-1.34e+01	63.909972	-4.16e-01	RHBDF2	rhomboid 5 homolog 2
8146967	1.29e-30	7.97e-33	1.34e+01	63.838453	8.90e-01	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1
8031550	1.31e-30	8.10e-33	-1.34e+01	63.822076	-3.39e-01	EPN1	epsin 1
8180337	1.34e-30	8.32e-33	-1.34e+01	63.795338	-4.45e-01	ATF4	activating transcription factor 4
7922474	1.39e-30	8.67e-33	-1.34e+01	63.755102	-6.08e-01	KIAA0040	KIAA0040
8174654	1.46e-30	9.18e-33	1.34e+01	63.69815	6.67e-01	KLHL13	kelch like family member 13
8012475	1.51e-30	9.50e-33	1.34e+01	63.664501	5.92e-01	MYH10	myosin, heavy chain 10, non-muscle
7994928	1.75e-30	1.11e-32	-1.34e+01	63.510716	-3.04e-01	PHKG2	phosphorylase kinase catalytic subunit gamma 2
7903414	1.76e-30	1.12e-32	1.34e+01	63.500901	5.20e-01	AMY2B///AMY2A///AMY1C///AMY1B///AMY1A	amylase, alpha 2B (pancreatic)///amylase, alpha 2A (pancreatic)///amylase, alpha 1C (salivary)///amylase, alpha 1B (salivary)///amylase, alpha 1A (salivary)
7905854	2.09e-30	1.34e-32	-1.34e+01	63.327498	-2.70e-01	ZBTB7B	zinc finger and BTB domain containing 7B
7921076	2.14e-30	1.38e-32	-1.34e+01	63.294385	-5.47e-01	GPATCH4	G-patch domain containing 4
7960575	2.14e-30	1.38e-32	-1.34e+01	63.29291	-4.08e-01	NOP2	NOP2 nucleolar protein
8019376	2.60e-30	1.68e-32	-1.33e+01	63.098128	-3.35e-01	DUS1L	dihydrouridine synthase 1 like
7962029	2.61e-30	1.70e-32	-1.33e+01	63.088419	-3.21e-01	OVCH1	ovochymase 1
7954481	3.03e-30	1.99e-32	1.33e+01	62.93416	4.53e-01	SSPN	sarcospan
8167815	3.04e-30	2.00e-32	1.33e+01	62.928314	3.68e-01	MAGED2	MAGE family member D2
8173917	3.19e-30	2.11e-32	1.33e+01	62.876604	9.89e-01	NAP1L3	nucleosome assembly protein 1 like 3
8171172	3.27e-30	2.17e-32	1.33e+01	62.84829	1.22	MXRA5	matrix remodeling associated 5
7898677	3.30e-30	2.20e-32	-1.33e+01	62.832519	-4.59e-01	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
7913883	3.81e-30	2.55e-32	1.33e+01	62.687519	4.34e-01	PAFAH2	platelet activating factor acetylhydrolase 2
8061428	3.92e-30	2.64e-32	-1.33e+01	62.653682	-3.90e-01	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)
8044793	4.52e-30	3.05e-32	-1.33e+01	62.509086	-5.25e-01	STEAP3	STEAP3 metalloreductase
7968703	4.94e-30	3.35e-32	1.33e+01	62.416942	3.99e-01	NHLRC3	NHL repeat containing 3
8005043	5.65e-30	3.85e-32	1.32e+01	62.27973	8.93e-01	LINC00670	long intergenic non-protein coding RNA 670
8078461	6.50e-30	4.45e-32	1.32e+01	62.135388	4.45e-01	FBXL2	F-box and leucine rich repeat protein 2
8166797	6.95e-30	4.78e-32	-1.32e+01	62.065667	-6.17e-01	MID1IP1	MID1 interacting protein 1
7989670	7.03e-30	4.86e-32	-1.32e+01	62.049993	-4.32e-01	RBPMS2	RNA binding protein with multiple splicing 2
7895694	7.61e-30	5.28e-32	-1.32e+01	61.967002	-4.18e-01		
7953200	7.80e-30	5.44e-32	1.32e+01	61.938099	4.19e-01	CCND2	cyclin D2
